50000		0.001206	2.170947		0.016573
100000		0.001896	8.697344		0.068021
150000		0.002560	19.587745		0.157151
200000		0.003232	36.116652		0.281014
250000		0.003922	57.372035		0.442104
300000		0.004645	88.564758		0.634879
350000		0.005356	118.020957		0.872697
400000		0.005991	147.264251		1.119852
450000		0.006645	177.328650		1.433157
500000		0.007511	229.237017		1.759810
550000		0.008068	283.689521		2.137515
600000		0.008785	378.202747		2.525209
650000		0.009603	419.365498		2.956906
700000		0.010171	457.630731		3.425591
750000		0.010610	527.746133		3.947531
800000		0.011796	584.176891		4.522784
850000		0.012175	632.412506		5.180415
900000		0.012615	689.764903		5.811951
950000		0.013992	753.312516		6.504771
1000000		0.015604	815.760349		7.053070
